id,player_name,ally_code
1,Aspartame,979723264
2,Barkley Wigglebutts,953371698
3,Beladore,624569952
4,BlackEagle,426412867
5,BobbaSwett,741466628
6,Cade,689341164
7,ChalupaBatman,144989383
8,D D,121578518
9,DarthCorleone43,825731634
10,Dem Exia,595543912
11,DingDongDangler,436813255
12,Elko,889876492
13,Emiya,513372683
14,Ezl,444154985
15,Flash,482364717
16,Havchas,133734469
17,IP Freely,796981778
18,JainaSolo,379831356
19,Jak Dramond,143484527
20,KAM8621,565556917
21,Karstus,249922487
22,Katriona Swift,368433365
23,Lannis,428992764
24,LilRaindrop,859426465
25,LogieBear,731568518
26,Mol Eliza 2,498467694
27,Middion,456613365
28,Mooseman,349112182
29,Nick,439237792
30,Obi Quan,324524711
31,Pen Coco,129259741
32,Quinton,817777215
33,Rayd413,561346531
34,Redav,413183777
35,Reed,664617574
36,Rizzityrekt,878125469
37,Rojambo,117388419
38,RunTee,458958394
39,SVEN,536631575
40,Senwen Stonewill,498589476
41,Silvious,997739751
42,Snazzy Weasal,349812752
43,Stach,932228131
44,Steel,937688124
45,Swett,661854753
46,Thatankzz,498227358
47,The JuJu Cartel,217382952
48,Troy,952131223
49,WhitestDudeHere,558334453
50,XalNaga,626638651